"from","to","country","new","entire"
2020-02-29,2020-03-07,"Italy",4755,5883
2020-02-29,2020-03-07,"Spain",455,500
2020-02-29,2020-03-07,"US",313,337
2020-02-29,2020-03-07,"United Kingdom",368,429
2020-03-01,2020-03-08,"China",891,80823
2020-03-01,2020-03-08,"France",1006,1136
2020-03-01,2020-03-08,"Germany",910,1040
2020-03-01,2020-03-08,"Iran",5588,6566
2020-03-01,2020-03-08,"Italy",5681,7375
2020-03-01,2020-03-08,"Spain",589,673
2020-03-01,2020-03-08,"US",421,451
2020-03-01,2020-03-08,"United Kingdom",389,483
2020-03-02,2020-03-09,"China",724,80860
2020-03-02,2020-03-09,"France",1028,1219
2020-03-02,2020-03-09,"Germany",1017,1176
2020-03-02,2020-03-09,"Iran",5660,7161
2020-03-02,2020-03-09,"Italy",7136,9172
2020-03-02,2020-03-09,"Spain",953,1073
2020-03-02,2020-03-09,"US",466,519
2020-03-02,2020-03-09,"United Kingdom",496,630
2020-03-03,2020-03-10,"China",626,80887
2020-03-03,2020-03-10,"France",1590,1794
2020-03-03,2020-03-10,"Germany",1261,1457
2020-03-03,2020-03-10,"Iran",5706,8042
2020-03-03,2020-03-10,"Italy",7647,10149
2020-03-03,2020-03-10,"Spain",1530,1695
2020-03-03,2020-03-10,"US",638,711
2020-03-03,2020-03-10,"United Kingdom",700,889
2020-03-04,2020-03-11,"China",535,80921
2020-03-04,2020-03-11,"France",2005,2293
2020-03-04,2020-03-11,"Germany",1646,1908
2020-03-04,2020-03-11,"Iran",6078,9000
2020-03-04,2020-03-11,"Italy",9373,12462
2020-03-04,2020-03-11,"Spain",2055,2277
2020-03-04,2020-03-11,"US",1005,1109
2020-03-04,2020-03-11,"United Kingdom",1055,1301
2020-03-05,2020-03-12,"China",395,80932
2020-03-05,2020-03-12,"France",1913,2293
2020-03-05,2020-03-12,"Germany",1596,2078
2020-03-05,2020-03-12,"Iran",6562,10075
2020-03-05,2020-03-12,"Italy",11255,15113
2020-03-05,2020-03-12,"Spain",2018,2277
2020-03-05,2020-03-12,"US",1387,1561
2020-03-05,2020-03-12,"United Kingdom",1495,1790
2020-03-06,2020-03-13,"China",255,80945
2020-03-06,2020-03-13,"France",3025,3681
2020-03-06,2020-03-13,"Germany",3005,3675
2020-03-06,2020-03-13,"Iran",6617,11364
2020-03-06,2020-03-13,"Italy",13024,17660
2020-03-06,2020-03-13,"Spain",4832,5232
2020-03-06,2020-03-13,"US",1935,2157
2020-03-06,2020-03-13,"United Kingdom",1896,2270
2020-03-07,2020-03-14,"China",207,80977
2020-03-07,2020-03-14,"France",3537,4496
2020-03-07,2020-03-14,"Germany",3786,4585
2020-03-07,2020-03-14,"Iran",6906,12729
2020-03-07,2020-03-14,"Italy",15274,21157
2020-03-07,2020-03-14,"Spain",5891,6391
2020-03-07,2020-03-14,"US",2533,2870
2020-03-07,2020-03-14,"United Kingdom",2205,2634
2020-03-08,2020-03-15,"China",180,81003
2020-03-08,2020-03-15,"France",3396,4532
2020-03-08,2020-03-15,"Germany",4755,5795
2020-03-08,2020-03-15,"Iran",7372,13938
2020-03-08,2020-03-15,"Italy",17372,24747
2020-03-08,2020-03-15,"Spain",7125,7798
2020-03-08,2020-03-15,"US",2517,2968
2020-03-08,2020-03-15,"United Kingdom",2594,3077
2020-03-09,2020-03-16,"China",173,81033
2020-03-09,2020-03-16,"France",5464,6683
2020-03-09,2020-03-16,"Germany",6096,7272
2020-03-09,2020-03-16,"Iran",7830,14991
2020-03-09,2020-03-16,"Italy",18808,27980
2020-03-09,2020-03-16,"Spain",8869,9942
2020-03-09,2020-03-16,"US",3841,4360
2020-03-09,2020-03-16,"United Kingdom",3062,3692
2020-03-10,2020-03-17,"China",171,81058
2020-03-10,2020-03-17,"France",5921,7715
